Player,Team,"Contract Expiry 
(Trnsfmkt)",Age,"Matches played
(23/24)",Minutes played,Assists,Defensive duels per 90,"Defensive duels won, %",Successful attacking actions per 90,Shots per 90,"Shots on target, %","Successful dribbles, %","Offensive duels won, %",Progressive runs per 90,Received passes per 90,Passes per 90,"Accurate passes, %","Accurate forward passes, %","Accurate passes to final third, %","Accurate passes to penalty area, %","Accurate progressive passes, %"
R. Dingwall,Elgin City,,26,31,2832,3,5.42,60.61,2.66,1.61,40.82,57.38,42.36,0.95,15.43,26.65,60.1,50.56,44.33,43.43,74.59
Finn Allen,Elgin City,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
A. Nesbitt,Falkirk,,27,34,2314,5,5.3,64.89,4.73,2.51,45.16,58,43.72,1.46,29.22,45.97,78.61,65.11,66.44,50,82.43
C. McGuffie,Queen of the South,,26,21,684,0,8.44,68.25,4.82,2.95,45.45,51.11,41.57,1.47,23.3,38.17,76.14,59.3,65,40,70.27
J. Cooper,Stirling Albion,,21,29,1283,2,8.42,64.17,3.23,1.54,63.64,46,27.83,1.75,22.31,32.34,77.66,65.71,59.62,51.43,72.86
T. Steven,Alloa Athletic,,19,29,2430,6,3.62,48.94,6.46,3.08,37.5,57.56,44.57,3.04,17.77,26.65,75.61,61.68,61.36,50.63,80.7
J. Barjonas,Hamilton Academical,,25,34,2370,2,5.34,59.17,3.6,1.42,40.63,63.41,40.18,2.8,32.42,48.42,83.75,66.31,71.1,47.56,78.98
E. Henderson,Hamilton Academical,,24,31,1730,5,4.12,66.67,4.23,3.46,37.93,61.54,47.4,2.92,18.85,25.23,82.27,60.2,71.05,64.29,65.12
D. Tait,Hibernian,,22,32,2083,3,7.81,63.4,2.65,1.12,31.82,62.79,48.28,2.2,37.52,54.37,79.81,67.28,64.73,46.59,85.64
A. Darge,Cove Rangers,,21,25,1682,0,10.08,65.24,1.29,0.05,0,60,49.46,1.35,28.94,43.33,76.74,66.76,64.67,47.83,77.57
J. McPake,Stirling Albion,,22,12,1047,2,5.16,61.67,8.68,3.27,23.68,54.97,43.55,5.16,14.18,23.64,75.27,62.9,57.14,51.16,78.38
