Player,Team,Position,Age,Matches played,Minutes played,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,Passes to final third per 90,"Accurate passes to final third, %",Progressive passes per 90,"Accurate progressive passes, %"
J. Murray,Elgin City,LCB,24,3,287,6.9,3.76,66.67,12.54,70,0,0,5.25,0.31,9.09,34.48,15.37,53.06
K. Girvan,Elgin City,"RWB, RB",22,5,454,10.31,7.14,63.89,4.96,56,0.74,0,6.39,0.79,3.37,58.82,6.54,51.52
J. Dolzanski,Elgin City,CB,26,5,444,10.54,4.46,63.64,7.5,59.46,0.79,1.42,9.21,1.01,3.24,37.5,5.27,57.69
R. Draper,Elgin City,RCB,35,5,431,12.32,7.73,81.08,4.18,55,0,1.04,6.85,0.63,2.71,30.77,6.89,57.58
Remi Savage,Inverness CT,CB,22,5,431,8.35,5.22,72,2.71,53.85,0.4,0.63,8.4,0.63,10.44,84,11.07,81.13
Jacob Comerford,Linlithgow Rose,CB,20,5,305,12.69,7.08,75,6.49,45.45,0.45,0,10.91,0.89,6.2,47.62,8.26,50
Aidan Quinn,Montrose,CB,26,5,429,10.07,5.24,80,6.92,72.73,0.75,1.05,6.25,0.42,8.18,43.59,8.18,71.79
David McKay,Alloa Athletic,CB,26,5,471,11.27,6.88,63.89,3.63,52.63,0.54,1.53,9.11,1.72,7.07,37.84,7.26,63.16
Adam Hutchinson,Forfar,CB,21,5,470,10.15,8.62,77.78,7.09,59.46,0.83,0.38,4.17,0.57,2.68,57.14,5.74,40
Aryton Sonkur,Spartans,CB,26,5,478,7.72,3.95,66.67,6.03,68.75,0,0.56,6.69,0.38,5.27,64.29,8.47,66.67
Josh Kerr,Stirling,CB,26,5,406,9.98,7.32,60.61,10.42,61.7,0.3,0.22,7.27,1.77,7.32,57.58,9.09,75.61
Bayley Klimionek,Forfar,CB,18,2,175,14.91,9.77,84.21,6.17,41.67,1.36,0,7.5,1.54,9.26,38.89,6.17,75
Callum Flatman,Kelty Hearts,CB,20,4,378,10.95,6.19,80.77,5.24,50,0.65,0.24,7.42,0.71,3.33,42.86,8.57,41.67
Stuart Morrison,Forfar,CB,25,5,469,9.21,5.76,63.33,10.94,54.39,0.26,0.19,7.37,1.15,5.18,62.96,9.02,61.7
Innes Paton,Montrose,CB,18,3,93,8.71,6.77,71.43,5.81,50,1.43,0,4.29,0,1.94,50,3.87,25
Luke Kenny,St Mirren,CB,20,5,387,9.77,6.98,60,7.67,66.67,0,0.47,6.43,2.33,4.19,44.44,7.91,52.94
Arron Darge ,Cove Rangers,CB,21,,,,,,,,,,,,,,,
Neil Martyniuk,Bonnyrigg Rose,CB,27,,,,,,,,,,,,,,,
League Two Average,,,22.33333333,4.5,374.3333333,10.41,6.61,71.59,7.05,56.64,0.37,0.55,7.91,0.92,5.23,46.8,7.91,58.06
