Player,Team,Position,Age,Matches played,Minutes played,Assists,Successful defensive actions per 90,Aerial duels per 90,"Aerial duels won, %",Interceptions per 90,Fouls per 90,Shots per 90,"Shots on target, %",Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Key passes per 90
R. MacEwan,Elgin City,"RCMF, LCMF, RAMF",26,5,302,0,14.01,4.17,35.71,4.77,1.49,0.89,0,29.5,75.76,12.52,59.52,0
M. Gallagher,Elgin City,"LCMF, RCMF",23,3,272,1,7.94,2.65,50,2.98,1.99,1.32,25,33.75,69.61,16.21,51.02,0.66
L. Hyde,Elgin City,"DMF, RCMF, LCMF",22,3,237,0,11.39,3.42,77.78,4.56,1.14,1.14,66.67,35.7,65.96,17.85,48.94,0.38
Lewis Owens,Kelty Hearts,CM,21,5,303,0,8.02,5.94,65,4.46,1.19,0.3,0,45.45,90.85,18.42,79.03,0
Ray Grant,Clyde,CM,27,5,473,0,14.08,6.66,40,7.42,0.76,2.09,27.27,46.05,77.69,22.26,65.81,0
Finlay Gray,Dumbarton,CM,22,5,457,2,12.8,3.54,66.67,3.54,1.97,0.98,60,20.09,64.71,9.45,62.5,0.39
Tomas Brindley,Stranraer,CM,22,5,367,0,12.75,5.64,47.83,7.36,3.19,0.49,50,30.9,68.25,15.45,60.32,0
Connor McManus,East Fife,CM,28,5,288,2,5.94,2.19,71.43,3.44,0.94,2.5,25,39.06,66.4,18.75,48.33,0.63
Marley Redfern,Clyde,CM,21,5,244,0,6.64,5.9,12.5,5.16,2.58,1.84,40,27.3,66.22,5.16,50,0.37
Kyle Fleming,Annan Athletic,CM,22,2,66,0,4.09,0,0,2.73,1.36,1.36,0,35.45,88.46,10.91,75,0
Ben Scarborough,Bonnyrigg Rose,CM,23,3,152,0,11.25,6.51,54.55,4.14,0,1.18,0,26.64,64.44,10.07,52.94,0.59
Mouhamed Niang,Dumbarton,CM,24,5,374,0,9.14,1.93,37.5,2.65,2.65,0.72,33.33,33.93,82.27,10.35,76.74,0.24
Sam Jones,Edinburgh City,CM,28,5,408,0,6.18,1.99,66.67,2.21,0.66,0,0,54.26,86.59,13.9,73.02,0
Jess Norey,East Fife,CM,22,5,390,0,7.62,4.85,66.67,3.23,0.92,0.92,50,30.69,78.2,11.54,62,
Ali Spalding,Arbroath,CM,18,5,245,0,6.98,5.51,26.67,2.57,0,0,0,30.49,81.93,6.24,70.59,0
Matheus Machado,Montrose,CM,23,5,262,0,6.53,2.06,66.67,1.72,1.03,0.69,0,29.89,75.86,11.68,61.76,0
Ali Shrive,Montrose,CM,23,5,178,0,5.06,7.58,20,3.03,1.01,0.51,0,20.73,63.41,5.56,36.36,0.51
League Two Average,,,24.95,3.26,217.53,0.19,7.64,5.13,45.07,3.33,1.17,1.33,34.24,34.95,72.69,12.92,59.49,0.18
