Player,Team,Position,Age,Matches played,Minutes played,Goals,Assists,Successful attacking actions per 90,Goals per 90,Shots per 90,"Shots on target, %",Assists per 90,Crosses per 90,"Accurate crosses, %","Successful dribbles, %",Offensive duels per 90,Progressive runs per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %"
D. Golding,Elgin City,"CF, RWF",26,5,433,0,0,4.57,0,2.49,16.67,0,2.29,36.36,66.67,18.5,1.45,0.83,27.64,72.18
D. Gavin,Elgin City,"CF, AMF, RWF",21,5,315,0,1,1.14,0,2,42.86,0.29,0.57,50,0,6.86,1.14,1.14,12.57,63.64
R. Sargent,Elgin City,"RCMF, LWF, CF",23,3,85,1,0,3.18,1.06,2.12,50,0,3.18,66.67,0,8.47,0,1.06,26.47,76
M. Dangana,Elgin City,CF,21,5,283,0,0,1.91,0,0.32,100,0,0,0,38.46,19.4,1.27,2.86,15.58,65.31
Cammy Russell,Spartans,LW,26,4,376,0,1,5.74,0,1.44,33.33,0.24,5.98,32,58.33,12.45,0.96,3.35,23.94,63
Innes Lawson,Edinburgh City,LW,20,4,356,2,1,2.02,0.51,2.28,33.33,0.25,0.25,0,80,7.58,1.52,2.02,31.35,68.55
Jack Healy,East Fife,LW,22,5,246,0,0,7.68,0,1.83,40,0,6.22,29.41,50,15.73,3.66,1.83,27.07,70.27
Luis Longstaff,Inverness CT,RW,23,5,430,0,1,3.56,0,1.47,14.29,0.21,1.88,33.33,57.14,11.93,1.88,2.51,54,91.47
Liam Newton,East Fife,LW,22,5,463,1,0,0.78,0.19,0.58,33.33,0,2.14,0,60,4.67,0.19,0.97,36.93,68.95
Aaron Cocks,Forfar,LW,18,4,182,0,0,4.45,0,1.48,33.33,0,3.96,25,42.86,17.8,3.46,0.49,16.81,67.65
Blair Lyons,Montrose,LW,27,5,388,0,0,2.55,0,0.93,0,0,0.46,0,57.89,15.77,2.32,1.86,16.24,77.14
Kieran Somerville,Bonnyrigg Rose,LW,26,3,288,0,0,0,0,0,0,0,0,0,0,3.44,0.31,0.63,29.06,76.34
League Two Average,,,24,2.73,168.73,0.2,0.27,2.88,0.08,1.49,21.9,0.08,2.95,26.03,51.3,10.16,1.1,2.52,22.2,61.6
